Thames-Coromandel District,8208,1059,141,1446,10860,9465,1062,288,567,11379,9930,1176,243,651,12000
Hauraki District,5634,408,45,498,6585,6222,423,114,273,7032,6564,390,108,363,7422
Waikato District,15060,1005,84,1368,17517,17211,900,213,1461,19788,19410,1002,231,1491,22140
Matamata-Piako District,9081,855,27,810,10773,9966,939,54,435,11394,10731,906,78,567,12282
Hamilton City,32646,6216,39,2853,41751,35673,7956,87,2478,46194,38574,9105,84,2877,50637
Waipa District,11973,1140,42,876,14028,13734,1377,99,558,15765,15249,1401,96,840,17583
Otorohanga District,2553,156,15,252,2973,2796,132,24,126,3081,2985,108,27,210,3333
South Waikato District,6891,555,12,630,8091,6984,594,30,558,8163,7206,609,36,573,8427
Waitomo District,2832,219,15,312,3381,3009,180,36,210,3438,2949,183,21,228,3381
Taupo District,9333,1146,63,1068,11607,10248,1185,93,789,12315,10962,1383,132,765,13239
Rotorua District,17391,3018,60,2085,22554,18480,3456,162,1482,23580,18609,3429,147,2202,24384
Area Outside Territorial Authority,21,3,18,9,51,12,3,24,12,54,9,3,12,6,30
